Line#,Time,OE,LAT,CLK,SELECT,B2,G2,R2,B1,G1,R1
0,-3880,0,0,0,00,0,0,0,0,0,0
1,-3860,0,1,0,00,0,0,0,0,0,0
2,-3840,0,1,1,00,0,0,0,0,0,0
3,-3800,0,1,0,00,0,0,0,0,0,0
4,-3760,0,1,1,00,0,0,0,0,0,0
5,-3710,0,1,0,00,0,0,0,0,0,0
6,-3680,0,1,1,00,0,0,0,0,0,0
7,-3630,0,1,0,00,0,0,0,0,0,0
8,-3620,0,0,0,00,0,0,0,0,0,0
9,-3600,0,0,1,00,0,0,0,0,0,0
10,-3550,0,0,0,00,0,0,0,0,0,0
11,-3520,0,0,1,00,0,0,0,0,0,0
12,-3470,0,0,0,00,0,0,0,0,0,0
13,-3440,0,0,1,00,0,0,0,0,0,0
14,-3390,0,0,0,00,0,0,0,0,0,0
15,-3360,0,0,1,00,0,0,0,0,0,0
16,-3310,0,0,0,00,0,0,0,0,0,0
17,-3280,0,0,1,00,0,0,0,0,0,0
18,-3230,0,0,0,00,0,0,0,0,0,0
19,-3200,0,0,1,00,0,0,0,0,0,0
20,-3150,0,0,0,00,0,0,0,0,0,0
21,-3120,0,0,1,00,0,0,0,0,0,0
22,-3070,0,0,0,00,0,0,0,0,0,0
23,-3040,0,0,1,00,0,0,0,0,0,0
24,-2990,0,0,0,00,0,0,0,0,0,0
25,-2960,0,0,1,00,0,0,0,0,0,0
26,-2910,0,0,0,00,0,0,0,0,0,0
27,-2880,0,0,1,00,0,0,0,0,0,0
28,-2830,0,0,0,00,0,0,0,0,0,0
29,-2800,0,0,1,00,0,0,0,0,0,0
30,-2750,0,0,0,00,0,0,0,0,0,0
31,-2720,0,0,1,00,0,0,0,0,0,0
32,-2670,0,0,0,00,0,0,0,0,0,0
33,-2640,0,0,1,00,0,0,0,0,0,0
34,-2590,0,0,0,00,0,0,0,0,0,0
35,-2580,0,1,0,00,0,0,0,0,0,0
36,-2560,0,1,1,00,0,0,0,0,0,0
37,-2510,0,1,0,00,0,0,0,0,0,0
38,-2480,0,1,1,00,0,0,0,0,0,0
39,-2430,0,1,0,00,0,0,0,0,0,0
40,-2400,0,1,1,00,0,0,0,0,0,0
41,-2350,0,1,0,00,0,0,0,0,0,0
42,-2320,0,1,1,00,0,0,0,0,0,0
43,-2270,0,1,0,00,0,0,0,0,0,0
44,-2240,0,1,1,00,0,0,0,0,0,0
45,-2190,0,1,0,00,0,0,0,0,0,0
46,-2160,0,1,1,00,0,0,0,0,0,0
47,-2110,0,1,0,00,0,0,0,0,0,0
48,-2080,0,1,1,00,0,0,0,0,0,0
49,-2030,0,1,0,00,0,0,0,0,0,0
50,-2000,0,1,1,00,0,0,0,0,0,0
51,-1950,0,1,0,00,0,0,0,0,0,0
52,-1920,0,1,1,00,0,0,0,0,0,0
53,-1870,0,1,0,00,0,0,0,0,0,0
54,-1840,0,1,1,00,0,0,0,0,0,0
55,-1790,0,1,0,00,0,0,0,0,0,0
56,-1760,0,1,1,00,0,0,0,0,0,0
57,-1710,0,1,0,00,0,0,0,0,0,0
58,-1700,1,0,0,00,0,0,0,0,0,0
59,-1680,1,0,1,00,0,0,0,0,0,0
