Line#,Time,R1,G1,B1,R2,G2,B2,SELECT,CLK,LAT,OE
0,-2577160,0,0,0,0,0,0,04,1,0,0
1,-2577120,0,0,0,0,0,0,04,0,0,0
2,-2577080,0,0,0,0,0,0,04,1,0,0
3,-2577040,0,0,0,0,0,0,04,0,0,0
4,-2577000,0,0,0,0,0,0,04,1,0,0
5,-2576960,0,0,0,0,0,0,04,0,0,0
6,-2576920,0,0,0,0,0,0,04,1,0,0
7,-2576880,0,0,0,0,0,0,04,0,0,0
8,-2576840,0,0,0,0,0,0,04,1,0,0
9,-2576800,0,0,0,0,0,0,04,0,0,0
10,-2576760,0,0,0,0,0,0,04,1,0,0
11,-2576720,0,0,0,0,0,0,04,0,0,0
12,-2576680,0,0,0,0,0,0,04,1,0,0
13,-2576640,0,0,0,0,0,0,04,0,0,0
14,-2576600,0,0,0,0,0,0,04,1,0,0
15,-2576560,0,0,0,0,0,0,04,0,0,0
16,-2576520,0,0,0,0,0,0,04,1,0,0
17,-2576480,0,0,0,0,0,0,04,0,0,0
18,-2576440,0,0,0,0,0,0,04,1,0,0
19,-2576400,0,0,0,0,0,0,04,0,0,0
20,-2576360,0,0,0,0,0,0,04,1,0,0
21,-2576320,0,0,0,0,0,0,04,0,0,0
22,-2576280,0,0,0,0,0,0,04,1,0,0
23,-2576240,0,0,0,0,0,0,04,0,0,0
24,-2576200,0,0,0,0,0,0,04,1,0,0
25,-2576160,0,0,0,0,0,0,04,0,0,0
26,-2576120,0,0,0,0,0,0,04,1,0,0
27,-2576080,0,0,0,0,0,0,04,0,0,0
28,-2576040,0,0,0,0,0,0,04,1,0,0
29,-2576000,0,0,0,0,0,0,04,0,0,0
30,-2575960,0,0,0,0,0,0,04,1,0,0
31,-2575920,0,0,0,0,0,0,04,0,0,0
32,-2575880,0,0,0,0,0,0,04,1,0,0
33,-2575840,0,0,0,0,0,0,04,0,0,0
34,-2575800,0,0,0,0,0,0,04,1,0,0
35,-2575760,0,0,0,0,0,0,04,0,0,0
36,-2575720,0,0,0,0,0,0,04,1,0,0
37,-2575680,0,0,0,0,0,0,04,0,0,0
38,-2575640,0,0,0,0,0,0,04,1,0,0
39,-2575600,0,0,0,0,0,0,04,0,0,0
40,-2575560,0,0,0,0,0,0,04,1,0,0
41,-2575520,0,0,0,0,0,0,04,0,0,0
42,-2575480,0,0,0,0,0,0,04,1,0,0
43,-2575440,0,0,0,0,0,0,04,0,0,0
44,-2575400,0,0,0,0,0,0,04,1,0,0
45,-2575360,0,0,0,0,0,0,04,0,0,0
46,-2575320,0,0,0,0,0,0,04,1,0,0
47,-2575280,0,0,0,0,0,0,04,0,0,0
48,-2575270,0,0,0,0,0,0,05,0,0,0
49,-2575240,0,0,0,0,0,0,05,1,0,0
50,-2575200,0,0,0,0,0,0,05,0,0,0
51,-2575160,0,0,0,0,0,0,05,1,0,0
52,-2575120,0,0,0,0,0,0,05,0,0,0
53,-2575080,0,0,0,0,0,0,05,1,0,0
54,-2575040,0,0,0,0,0,0,05,0,0,0
55,-2575000,0,0,0,0,0,0,05,1,0,0
56,-2574960,0,0,0,0,0,0,05,0,0,0
57,-2574920,0,0,0,0,0,0,05,1,0,0
58,-2574880,0,0,0,0,0,0,05,0,0,0
59,-2574840,0,0,0,0,0,0,05,1,0,0
60,-2574800,0,0,0,0,0,0,05,0,0,0
61,-2574780,0,0,0,0,0,0,05,0,0,1
62,-2574760,0,0,0,0,0,0,05,1,0,1
63,-2574720,0,0,0,0,0,0,05,0,0,1
64,-2574680,0,0,0,0,0,0,05,1,0,1
65,-2574640,0,0,0,0,0,0,05,0,0,1
66,-2574600,0,0,0,0,0,0,05,1,0,1
67,-2574560,0,0,0,0,0,0,05,0,0,1
68,-2574520,0,0,0,0,0,0,05,1,0,1
69,-2574480,0,0,0,0,0,0,05,0,0,1
70,-2574450,0,0,0,0,0,0,05,0,0,0
71,-2574440,0,0,0,0,0,0,05,1,0,0
72,-2574400,0,0,0,0,0,0,05,0,0,0
73,-2574360,0,0,0,0,0,0,05,1,0,0
74,-2574320,0,0,0,0,0,0,05,0,0,0
75,-2574280,0,0,0,0,0,0,05,1,0,0
76,-2574240,0,0,0,0,0,0,05,0,0,0
77,-2574200,0,0,0,0,0,0,05,1,0,0
78,-2574160,0,0,0,0,0,0,05,0,0,0
79,-2574120,0,0,0,0,0,0,05,1,0,0
80,-2574080,0,0,0,0,0,0,05,0,0,0
81,-2574040,0,0,0,0,0,0,05,1,0,0
82,-2574000,0,0,0,0,0,0,05,0,0,0
83,-2573960,0,0,0,0,0,0,05,1,0,0
84,-2573920,0,0,0,0,0,0,05,0,0,0
