Line#,Time,R1,G1,B1,R2,G2,B2,SELECT,CLK,LAT,OE
0,-2578190,0,0,0,0,0,0,04,1,0,0
1,-2578150,0,0,0,0,0,0,04,0,0,0
2,-2578110,0,0,0,0,0,0,04,1,0,0
3,-2578070,0,0,0,0,0,0,04,0,0,0
4,-2578030,0,0,0,0,0,0,04,1,0,0
5,-2577990,0,0,0,0,0,0,04,0,0,0
6,-2577950,0,0,0,0,0,0,04,1,0,0
7,-2577910,0,0,0,0,0,0,04,0,0,0
8,-2577870,0,0,0,0,0,0,04,1,0,0
9,-2577830,0,0,0,0,0,0,04,0,0,0
10,-2577790,0,0,0,0,0,0,04,1,0,0
11,-2577750,0,0,0,0,0,0,04,0,0,0
12,-2577710,0,0,0,0,0,0,04,1,0,0
13,-2577670,0,0,0,0,0,0,04,0,0,0
14,-2577630,0,0,0,0,0,0,04,1,0,0
15,-2577590,0,0,0,0,0,0,04,0,0,0
16,-2577550,0,0,0,0,0,0,04,1,0,0
17,-2577510,0,0,0,0,0,0,04,0,0,0
18,-2577470,0,0,0,0,0,0,04,1,0,0
19,-2577430,0,0,0,0,0,0,04,0,0,0
20,-2577390,0,0,0,0,0,0,04,1,0,0
21,-2577350,0,0,0,0,0,0,04,0,0,0
22,-2577310,0,0,0,0,0,0,04,1,0,0
23,-2577270,0,0,0,0,0,0,04,0,0,0
24,-2577230,0,0,0,0,0,0,04,1,0,0
25,-2577190,0,0,0,0,0,0,04,0,0,0
26,-2577150,0,0,0,0,0,0,04,1,0,0
27,-2577110,0,0,0,0,0,0,04,0,0,0
28,-2577070,0,0,0,0,0,0,04,1,0,0
29,-2577030,0,0,0,0,0,0,04,0,0,0
30,-2576990,0,0,0,0,0,0,04,1,0,0
31,-2576950,0,0,0,0,0,0,04,0,0,0
32,-2576910,0,0,0,0,0,0,04,1,0,0
33,-2576870,0,0,0,0,0,0,04,0,0,0
34,-2576830,0,0,0,0,0,0,04,1,0,0
35,-2576790,0,0,0,0,0,0,04,0,0,0
36,-2576750,0,0,0,0,0,0,04,1,0,0
37,-2576710,0,0,0,0,0,0,04,0,0,0
38,-2576670,0,0,0,0,0,0,04,1,0,0
39,-2576630,0,0,0,0,0,0,04,0,0,0
40,-2576590,0,0,0,0,0,0,04,1,0,0
41,-2576550,0,0,0,0,0,0,04,0,0,0
42,-2576510,0,0,0,0,0,0,04,1,0,0
43,-2576470,0,0,0,0,0,0,04,0,0,0
44,-2576430,0,0,0,0,0,0,04,1,0,0
45,-2576390,0,0,0,0,0,0,04,0,0,0
46,-2576350,0,0,0,0,0,0,04,1,0,0
47,-2576310,0,0,0,0,0,0,04,0,0,0
48,-2576270,0,0,0,0,0,0,04,1,0,0
49,-2576230,0,0,0,0,0,0,04,0,0,0
50,-2576190,0,0,0,0,0,0,04,1,0,0
51,-2576150,0,0,0,0,0,0,04,0,0,0
52,-2576110,0,0,0,0,0,0,04,1,0,0
53,-2576070,0,0,0,0,0,0,04,0,0,0
54,-2576030,0,0,0,0,0,0,04,1,0,0
55,-2575990,0,0,0,0,0,0,04,0,0,0
56,-2575950,0,0,0,0,0,0,04,1,0,0
57,-2575910,0,0,0,0,0,0,04,0,0,0
58,-2575870,0,0,0,0,0,0,04,1,0,0
59,-2575830,0,0,0,0,0,0,04,0,0,0
60,-2575790,0,0,0,0,0,0,04,1,0,0
61,-2575750,0,0,0,0,0,0,04,0,0,0
62,-2575710,0,0,0,0,0,0,04,1,0,0
63,-2575670,0,0,0,0,0,0,04,0,0,0
64,-2575630,0,0,0,0,0,0,04,1,0,0
65,-2575590,0,0,0,0,0,0,05,0,0,0
66,-2575550,0,0,0,0,0,0,05,1,0,0
67,-2575510,0,0,0,0,0,0,05,0,0,0
68,-2575470,0,0,0,0,0,0,05,1,0,0
69,-2575430,0,0,0,0,0,0,05,0,0,0
70,-2575390,0,0,0,0,0,0,05,1,0,0
71,-2575350,0,0,0,0,0,0,05,0,0,0
72,-2575310,0,0,0,0,0,0,05,1,0,0
73,-2575270,0,0,0,0,0,0,05,0,0,0
74,-2575230,0,0,0,0,0,0,05,1,0,0
75,-2575190,0,0,0,0,0,0,05,0,0,0
76,-2575150,0,0,0,0,0,0,05,1,0,0
77,-2575110,0,0,0,0,0,0,05,0,0,0
78,-2575090,0,0,0,0,0,0,05,0,0,1
79,-2575070,0,0,0,0,0,0,05,1,0,1
80,-2575030,0,0,0,0,0,0,05,0,0,1
81,-2574990,0,0,0,0,0,0,05,1,0,1
82,-2574950,0,0,0,0,0,0,05,0,0,1
83,-2574910,0,0,0,0,0,0,05,1,0,1
84,-2574870,0,0,0,0,0,0,05,0,0,1
85,-2574830,0,0,0,0,0,0,05,1,0,1
86,-2574790,0,0,0,0,0,0,05,0,0,1
87,-2574760,0,0,0,0,0,0,05,0,0,0
88,-2574750,0,0,0,0,0,0,05,1,0,0
89,-2574710,0,0,0,0,0,0,05,0,0,0
90,-2574670,0,0,0,0,0,0,05,1,0,0
91,-2574630,0,0,0,0,0,0,05,0,0,0
92,-2574590,0,0,0,0,0,0,05,1,0,0
93,-2574550,0,0,0,0,0,0,05,0,0,0
94,-2574510,0,0,0,0,0,0,05,1,0,0
95,-2574470,0,0,0,0,0,0,05,0,0,0
96,-2574430,0,0,0,0,0,0,05,1,0,0
97,-2574390,0,0,0,0,0,0,05,0,0,0
98,-2574350,0,0,0,0,0,0,05,1,0,0
99,-2574310,0,0,0,0,0,0,05,0,0,0
100,-2574270,0,0,0,0,0,0,05,1,0,0
101,-2574230,0,0,0,0,0,0,05,0,0,0
102,-2574190,0,0,0,0,0,0,05,1,0,0
103,-2574150,0,0,0,0,0,0,05,0,0,0
104,-2574110,0,0,0,0,0,0,05,1,0,0
105,-2574070,0,0,0,0,0,0,05,0,0,0
106,-2574030,0,0,0,0,0,0,05,1,0,0
107,-2573990,0,0,0,0,0,0,05,0,0,0
108,-2573950,0,0,0,0,0,0,05,1,0,0
109,-2573910,0,0,0,0,0,0,05,0,0,0
110,-2573870,0,0,0,0,0,0,05,1,0,0
111,-2573830,0,0,0,0,0,0,05,0,0,0
112,-2573790,0,0,0,0,0,0,05,1,0,0
113,-2573750,0,0,0,0,0,0,05,0,0,0
114,-2573710,0,0,0,0,0,0,05,1,0,0
115,-2573670,0,0,0,0,0,0,05,0,0,0
116,-2573630,0,0,0,0,0,0,05,1,0,0
117,-2573590,0,0,0,0,0,0,05,0,0,0
118,-2573550,0,0,0,0,0,0,05,1,0,0
119,-2573510,0,0,0,0,0,0,05,0,0,0
120,-2573470,0,0,0,0,0,0,05,1,0,0
121,-2573430,0,0,0,0,0,0,05,0,0,0
122,-2573390,0,0,0,0,0,0,05,1,0,0
123,-2573350,0,0,0,0,0,0,05,0,0,0
124,-2573310,0,0,0,0,0,0,05,1,0,0
125,-2573270,0,0,0,0,0,0,05,0,0,0
126,-2573230,0,0,0,0,0,0,05,1,0,0
127,-2573190,0,0,0,0,0,0,05,0,0,0
128,-2573150,0,0,0,0,0,0,05,1,0,0
129,-2573110,0,0,0,0,0,0,05,0,0,0
130,-2573070,0,0,0,0,0,0,05,1,0,0
131,-2573030,0,0,0,0,0,0,05,0,0,0
132,-2572990,0,0,0,0,0,0,05,1,0,0
133,-2572950,0,0,0,0,0,0,05,0,0,0
134,-2572910,0,0,0,0,0,0,05,1,0,0
135,-2572870,0,0,0,0,0,0,05,0,0,0
136,-2572830,0,0,0,0,0,0,05,1,0,0
137,-2572790,0,0,0,0,0,0,05,0,0,0
138,-2572750,0,0,0,0,0,0,05,1,0,0
139,-2572710,0,0,0,0,0,0,05,0,0,0
140,-2572670,0,0,0,0,0,0,05,1,0,0
141,-2572630,0,0,0,0,0,0,05,0,0,0
142,-2572590,0,0,0,0,0,0,05,1,0,0
143,-2572550,0,0,0,0,0,0,05,0,0,0
144,-2572510,0,0,0,0,0,0,05,1,0,0
145,-2572470,0,0,0,0,0,0,05,0,0,0
146,-2572430,0,0,0,0,0,0,05,1,0,0
147,-2572390,0,0,0,0,0,0,05,0,0,0
148,-2572350,0,0,0,0,0,0,05,1,0,0
149,-2572310,0,0,0,0,0,0,05,0,0,0
150,-2572270,0,0,0,0,0,0,05,1,0,0
151,-2572230,0,0,0,0,0,0,05,0,0,0
152,-2572190,0,0,0,0,0,0,05,1,0,0
153,-2572150,0,0,0,0,0,0,05,0,0,0
154,-2572110,0,0,0,0,0,0,05,1,0,0
155,-2572070,0,0,0,0,0,0,05,0,0,0
156,-2572030,0,0,0,0,0,0,05,1,0,0
157,-2571990,0,0,0,0,0,0,05,0,0,0
158,-2571950,0,0,0,0,0,0,05,1,0,0
159,-2571910,0,0,0,0,0,0,05,0,0,0
160,-2571870,0,0,0,0,0,0,05,1,0,0
161,-2571830,0,0,0,0,0,0,05,0,0,0
162,-2571790,0,0,0,0,0,0,05,1,0,0
163,-2571750,0,0,0,0,0,0,05,0,0,0
164,-2571710,0,0,0,0,0,0,05,1,0,0
